log_file,log_name,fold,combo_label,model_id,task,bold,beta,smooth,gamma,active_param_count,train_loss,test_loss,train_corr,test_corr,abs_train_corr,abs_test_corr,corr_gap,loss_gap,loss_gap_rel,norm_test_corr,norm_corr_gap,norm_loss_gap_rel,term_test_corr,term_corr_stability,term_loss_stability,score_component_test_corr,score_component_corr_stability,score_component_loss_stability,evaluation_score
slurm-8078053.out,slurm-8078053.out,28,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.040778,-0.017187,0.2016,-0.0258,0.2016,0.0258,0.1758,0.023591,0.5785085460653767,0.03389165004804761,0.44627549223000695,0.2661857533968796,-0.03389165004804761,0.44627549223000695,0.2661857533968796,-0.010472519864846711,0.1401305045602222,0.10035202903062361,0.2300100137259991
slurm-8078053.out,slurm-8078053.out,29,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.040209,-0.034347,0.2002,0.0015,0.2002,0.0015,0.1987,0.005861999999999999,0.14578463068888334,0.0,0.5060346289844855,0.05514805888102489,-0.0,0.5060346289844855,0.05514805888102489,-0.0,0.15889487350112844,0.020790818198146384,0.1796856916992748
slurm-8078053.out,slurm-8078053.out,30,"task=0, bold=0, beta=0, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0, smooth=0, gamma=1",0.0,0.0,0.0,0.0,1.0,0,-0.041746,-0.014513,0.204,-0.0544,0.204,0.0544,0.14959999999999998,0.027233,0.6523342994706206,0.09299538122939893,0.37790477681658596,0.30219027323254255,-0.09299538122939893,0.37790477681658596,0.30219027323254255,-0.02873557279988427,0.11866209992040799,0.11392573300866854,0.20385226012919228
slurm-8078053.out,slurm-8078053.out,1,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081612,0.070908,0.0453,0.0436,0.0453,0.0436,0.0017000000000000001,0.010704000000000005,0.131155575704851,0.07067648973434319,0.0,0.04801352823210119,-0.07067648973434319,0.0,0.04801352823210119,-0.021839035327912048,0.0,0.01810110014350215,-0.0037379351844098983
slurm-8078053.out,slurm-8078053.out,2,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081149,0.095037,0.0542,0.095,0.0542,0.095,0.0408,0.013887999999999998,0.17113986444855203,0.17689788073858997,0.09398363800054792,0.06751370331714408,-0.17689788073858997,0.09398363800054792,0.06751370331714408,-0.054661445148224304,0.029510862332172046,0.02545266615056332,0.0003020833345110628
slurm-8078053.out,slurm-8078053.out,3,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.080221,0.116059,0.0548,0.0268,0.0548,0.0268,0.028,0.035837999999999995,0.44673530951609275,0.03595821407536759,0.06058115108101402,0.2019204815871212,-0.03595821407536759,0.06058115108101402,0.2019204815871212,-0.011111088149288585,0.019022481439438403,0.07612402155834469,0.08403541484849451
slurm-8078053.out,slurm-8078053.out,4,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.080779,0.093629,0.0435,-0.0862,0.0435,0.0862,0.0427,0.01285,0.15907402822480812,0.15871211729817417,0.09894181965266623,0.061629244038184795,-0.15871211729817417,0.09894181965266623,0.061629244038184795,-0.049042044245135814,0.031067731370937195,0.023234225002395668,0.005259912128197049
slurm-8078053.out,slurm-8078053.out,5,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081897,0.073637,0.0538,0.3823,0.0538,0.3823,0.32849999999999996,0.008260000000000003,0.10085716378910356,0.7706217257876191,0.844756722902884,0.03323711590317359,-0.7706217257876191,0.844756722902884,0.03323711590317359,-0.2381221132683743,0.2652536109915056,0.012530392695496443,0.03966189041862772
slurm-8078053.out,slurm-8078053.out,6,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081169,0.088185,0.0525,0.0491,0.0525,0.0491,0.0034000000000000002,0.0070159999999999945,0.08643587532339526,0.08204259188460306,0.0,0.02620391214067016,-0.08204259188460306,0.0,0.02620391214067016,-0.025351160892342343,0.0,0.00987887487703265,-0.015472286015309693
slurm-8078053.out,slurm-8078053.out,7,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081711,0.068498,0.0551,0.0012,0.0551,0.0012,0.0539,0.013213000000000003,0.1617020755825338,0.0,0.1281689957072584,0.06291093205159252,-0.0,0.1281689957072584,0.06291093205159252,-0.0,0.04024506465207914,0.02371742138345038,0.06396248603552952
slurm-8078053.out,slurm-8078053.out,8,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.083555,0.055755,0.0515,-0.0524,0.0515,0.0524,0.000900000000000005,0.027800000000000005,0.33271099621810524,0.08886225317475899,0.0,0.14631128749803482,-0.08886225317475899,0.0,0.14631128749803482,-0.027458436231000527,0.0,0.055159355386759125,0.027700919155758598
slurm-8078053.out,slurm-8078053.out,9,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.082347,0.0605,0.0489,0.5372,0.0489,0.5372,0.4883,0.021847000000000005,0.2653009180550834,1.0,1.0,0.11343566639842391,-1.0,1.0,0.11343566639842391,-0.309,0.314,0.04276524623220582,0.04776524623220582
slurm-8078053.out,slurm-8078053.out,10,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.082252,0.064216,0.0467,-0.1278,0.0467,0.1278,0.0811,0.01803600000000001,0.21927467691148053,0.24468118083468518,0.19914928041126792,0.0909888556883534,-0.24468118083468518,0.19914928041126792,0.0909888556883534,-0.07560648487791773,0.06253287404913813,0.03430279859450923,0.02122918776572963
slurm-8078053.out,slurm-8078053.out,11,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081105,0.090937,0.0462,0.6298,0.0462,0.6298,0.5836,0.009832000000000007,0.12122407713362769,1.0,1.0,0.043169976750240265,-1.0,1.0,0.043169976750240265,-0.309,0.314,0.01627508123484058,0.021275081234840586
slurm-8078053.out,slurm-8078053.out,12,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.079046,0.1407,0.0556,0.0425,0.0556,0.0425,0.013099999999999994,0.06165399999999999,0.7799663491340593,0.06840326930429122,0.021698568651244077,0.3644359050319084,-0.06840326930429122,0.021698568651244077,0.3644359050319084,-0.021136610215025987,0.00681335055649064,0.13739233619702948,0.12306907653849414
slurm-8078053.out,slurm-8078053.out,13,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081772,0.071749,0.0525,0.3142,0.0525,0.3142,0.2617,0.010023000000000004,0.12257101977425316,0.6298887155271287,0.6704374942915665,0.043826875200780914,-0.6298887155271287,0.6704374942915665,0.043826875200780914,-0.19463561309788274,0.2105173732075519,0.016522731950694404,0.03240449206036356
slurm-8078053.out,slurm-8078053.out,14,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081607,0.074506,0.052,-0.0298,0.052,0.0298,0.022199999999999998,0.007100999999999996,0.08701352808548177,0.04215790615732752,0.04544564919560022,0.02648563104459389,-0.04215790615732752,0.04544564919560022,0.02648563104459389,-0.013026793002614204,0.014269933847418469,0.009985082903811896,0.011228223748616161
slurm-8078053.out,slurm-8078053.out,15,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.080886,0.107024,0.0586,-0.1644,0.0586,0.1644,0.10579999999999999,0.026137999999999995,0.3231421612867333,0.32031742423459636,0.263605641888806,0.14164460559910966,-0.32031742423459636,0.263605641888806,0.14164460559910966,-0.09897808408849028,0.08277217155308508,0.05340001631086434,0.03719410377545915
slurm-8078053.out,slurm-8078053.out,16,"task=0, bold=0, beta=0.5, smooth=0, gamma=1","slurm-8078053.out | task=0, bold=0, beta=0.5, smooth=0, gamma=1",0.0,0.0,0.5,0.0,1.0,1,0.081554,0.075001,0.0663,0.2821,0.0663,0.2821,0.21580000000000002,0.006553000000000003,0.0803506835877629,0.5635520102501576,0.5506582638535504,0.023236188867373702,-0.5635520102501576,0.5506582638535504,0.023236188867373702,-0.1741375711672987,0.17290669485001484,0.008760043202999886,0.007529166885716029
